text_i,text_j,cor
Worry about things.,Worry about things.,0.9999999999999998
Make friends easily.,Worry about things.,-0.09208815824881836
Have a vivid imagination.,Worry about things.,0.011412632450619383
Trust others.,Worry about things.,-0.12216729678317219
Complete tasks successfully.,Worry about things.,-0.05222822949948799
Get angry easily.,Worry about things.,0.2829705098795757
Love large parties.,Worry about things.,-0.0924766991853406
Believe in the importance of art.,Worry about things.,0.01619601984462269
Would never cheat on my taxes.,Worry about things.,0.051653357717619405
Like order.,Worry about things.,0.14615234258570306
Often feel blue.,Worry about things.,0.3846359289472105
Take charge.,Worry about things.,-0.08376243800221617
Experience my emotions intensely.,Worry about things.,0.29520164161092216
Make people feel welcome.,Worry about things.,-0.014636995762481416
Try to follow the rules.,Worry about things.,0.12518318514993154
Am easily intimidated.,Worry about things.,0.3152803895687062
Am always busy.,Worry about things.,0.058784372757761966
Prefer variety to routine.,Worry about things.,-0.13991046165914386
Am easy to satisfy.,Worry about things.,-0.11014201512700302
Go straight for the goal.,Worry about things.,-0.06302855064057494
Often eat too much.,Worry about things.,0.12141725320993675
Love excitement.,Worry about things.,-0.07890014078862707
Like to solve complex problems.,Worry about things.,-0.10462377923631044
Dislike being the center of attention.,Worry about things.,0.0604691999985852
Get chores done right away.,Worry about things.,0.009367985021092635
Panic easily.,Worry about things.,0.4939866716333982
Radiate joy.,Worry about things.,-0.09481015692403655
Tend to vote for liberal political candidates.,Worry about things.,0.04360112222033643
Sympathize with the homeless.,Worry about things.,0.0934361981899947
Avoid mistakes.,Worry about things.,0.023377823579192263
Fear for the worst.,Worry about things.,0.4897332096314404
Warm up quickly to others.,Worry about things.,-0.0782446157808752
Enjoy wild flights of fantasy.,Worry about things.,-0.0018932856573518953
Believe that others have good intentions.,Worry about things.,-0.0773144905304234
Excel in what I do.,Worry about things.,-0.10417758837428323
Get irritated easily.,Worry about things.,0.30720665396416563
Talk to a lot of different people at parties.,Worry about things.,-0.11077926917513452
Like music.,Worry about things.,0.024125327763145195
Stick to the rules.,Worry about things.,0.11978301269535449
Like to tidy up.,Worry about things.,0.0973978057741482
Dislike myself.,Worry about things.,0.3023018100492125
Try to lead others.,Worry about things.,-0.09356214180371035
Feel others' emotions.,Worry about things.,0.12471789343422113
Anticipate the needs of others.,Worry about things.,0.06987372437351125
Keep my promises.,Worry about things.,-0.05804642065298896
Am afraid that I will do the wrong thing.,Worry about things.,0.4080993950442716
Am always on the go.,Worry about things.,0.018140562842253582
Like to visit new places.,Worry about things.,-0.05580962702007606
Can't stand confrontations.,Worry about things.,0.1839584317346021
Work hard.,Worry about things.,0.027526961828287476
Don't know why I do some of the things I do.,Worry about things.,0.18703120303918794
Seek adventure.,Worry about things.,-0.1400102266604541
Love to read challenging material.,Worry about things.,-0.049866673943320367
Dislike talking about myself.,Worry about things.,0.03007409706916019
Am always prepared.,Worry about things.,-0.013273200156509173
